,security_type,symbol,name,primary_exchange,currency,sector
sec-s-0665e3da6a72473fad866ab7ad0b4137,equity,AKMY,K.B. Recycling Industries Ltd,TSX-V,CAD,
sec-s-2a55b9b7cb49405d81af6854de0d655d,equity,AKR,Ackroo Inc,TSX-V,CAD,
sec-s-c83385e62ad2430b964417ca4185b6a3,equity,AML,Akwaaba Mining Limited,TSX-V,CAD,
sec-s-4e4b35ef91f4448a98832f2d4a8d3a8a,equity,AL,ALX Resources Corp,TSX-V,CAD,
sec-s-55f58db26436497ba32a1854fc8746e8,equity,ALTS,Altus Strategies plc,TSX-V,CAD,
sec-s-69aa3930e0c340bfb0b03326ed7b7d65,equity,ALTA,Altamira Gold Corp,TSX-V,CAD,
sec-s-d158fad25c7b4f91adae8b69ccac0efb,equity,ALPA,Alpha Metaverse Technologies Inc,CSE,CAD,
sec-s-c200733369dd42d1b3db0775f854064a,equity,ALDE,Aldebaran Resources Inc,TSX-V,CAD,
sec-s-4761315a744540b39cacadf9a422ed04,equity,ALMA,Alma Gold Inc,CSE,CAD,
sec-s-4ec21d83d47d4ed6a4fce685932cfb5d,equity,ALS,Altius Minerals Corp.,TSX,CAD,"Mining, Materials"
sec-s-a3a0152b81c9463494b6b47231531061,equity,ALV,Alvopetro Energy Ltd,TSX-V,CAD,
sec-s-ad1105bf4bbe4eaaad8a910f9d3f51df,equity,ALT,Alturas Minerals Corporation,TSX-V,CAD,
sec-s-f4e468c71d1e4afc80cc8af241607183,equity,ALC,Algoma Central Corp.,TSX,CAD,
sec-s-fabbf701440d4ba3ad4923c605fe590e,equity,ALM,Alliance Mining Corp,TSX-V,CAD,
sec-s-855b5139559b42a68447e2ccb21c7e54,equity,ALEX,Alpha Exploration Ltd,TSX-V,CAD,
sec-s-225a6fc2741b4bd3879cfb8e5c97a5c9,equity,ALA,AltaGas Ltd,TSX,CAD,"Energy, Oil and Gas"
sec-s-161657ca9b6d4ae082d57bc7adf5e9dc,equity,ALCU,Alpha Copper Corp,CSE,CAD,
sec-s-b2fe1d98c98d4e26867f61b18ec53dae,equity,ALE,Alerio Gold Corp,CSE,CAD,
sec-s-c25449a793764d8997825f4376f1eaa6,equity,ALY,AnalytixInsight Inc,TSX-V,CAD,
sec-s-78b4d2b0699d4b82a618c23edf05e4b4,equity,GOOG,Alphabet CDR (CAD Hedged) ,AEQUITAS NEO EXCHANGE,CAD,
sec-s-79febbf9986d465cafefe98dd7a6896a,equity,AORO,Aloro Mining Corp.,TSX-V,CAD,
sec-s-642c9b1bf7aa48068144440d067c95ac,equity,AMO,Altan Rio Minerals Ltd,TSX-V,CAD,
sec-s-1fd9d281a4f74e7c93f1c27a843313e0,equity,WAM,Western Alaska Minerals Corp,TSX-V,CAD,
sec-s-2127957742174fdaadfb66cfa3d200c0,equity,ASTL,Algoma Steel Group Inc,TSX,CAD,
sec-s-328b350a595a430aafe8ab919df8f70e,equity,AP.UN,Allied Properties REIT,TSX,CAD,"Real Estate, Finance"
sec-s-33f8f948ab0d43809753184ae7829f5a,equity,SOLR,Solar Alliance Energy Incorporation,TSX-V,CAD,
sec-s-344ea51ac32040859c81a67c705700de,equity,EAC,Earth Alive Clean Technologies Inc,TSX-V,CAD,
sec-s-3e81885f6750495695e6dae5c33205f7,equity,TAAT,Taat Global Alternatives Inc.,CSE,CAD,
sec-s-47d688417b4c4433bd2296824b6f9546,equity,ATD,"Alimentation-Couche Tard, Inc. (Class A)",TSX,CAD,"Fractional Trading, Food, Retail, Consumer Products, Transportation"
sec-s-adb57b6952a44f209e9ccc16b8bded17,equity,AMR,AM Resources Corp,TSX-V,CAD,
sec-s-dcbf498f9af443c086ff39814ce51c90,equity,AMZN,Amazon.com CDR (CAD Hedged),AEQUITAS NEO EXCHANGE,CAD,
sec-s-19c0ae0f4803456c93a6399e8e79e34d,equity,AMK,American Creek Resources Ltd- New,TSX-V,CAD,
sec-s-fc0b72de65f24d1d955cbd40046f2ca0,equity,AMPD,AMPD Ventures Inc,CSE,CAD,
sec-s-011457ee1b0046e4b4d6de7fec37a794,equity,AMY,American Manganese Incorporated,TSX-V,CAD,
sec-s-251f5180ae1244b391d84bd1bce896aa,equity,AMX,Amex Exploration Inc.,TSX-V,CAD,"Mining, Materials"
sec-s-dbaea237200d479aaf32161e1426dce9,equity,AMMP,AmmPower Corp,CSE,CAD,
sec-s-dee4ee16a9a44b6593542eb20555607d,equity,AMEN,Amcomri Entertainment Inc.,AEQUITAS NEO EXCHANGE,CAD,
sec-s-1b443e97ef394dfe964b0e23fe5beff1,equity,AMZ,Azucar Minerals Ltd,TSX-V,CAD,
sec-s-b898f9406fa64793ac0b7d0f7a1ab1e5,equity,AMC,Arizona Metals Corporation,TSX-V,CAD,
